record_id,polygon_id,year,ndvi,ndvi_previous_year,ndvi_change,ndwi_mean,ndwi_previous_year,ndwi_change,rainfall_mm,temperature_celsius,elevation_mean,longitude,latitude,trend_label,coastal_distance_m,coastal_distance_km
P0001_2001,P0001,2001,0.109032181,0.087499847,0.021532334,-0.112980474,-0.183258055,0.070277581,1076.348862,26.63304176,2.980598222,79.80954107,7.854714158,increase,30,0.03
P0001_2002,P0001,2002,0.083123908,0.109032181,-0.025908273,-0.096762082,-0.112980474,0.016218392,1322.592861,26.84789118,2.980598222,79.80954107,7.854714158,decrease,30,0.03
P0001_2003,P0001,2003,0.014986642,0.083123908,-0.068137266,-0.062117706,-0.096762082,0.034644376,1011.081799,26.91132196,2.980598222,79.80954107,7.854714158,decrease,30,0.03
P0001_2004,P0001,2004,0.03718098,0.014986642,0.022194338,-0.054610499,-0.062117706,0.007507207,1274.72819,26.77633479,2.980598222,79.80954107,7.854714158,increase,30,0.03
P0001_2005,P0001,2005,0.049291647,0.03718098,0.012110667,-0.07217453,-0.054610499,-0.017564031,1386.470275,26.88509327,2.980598222,79.80954107,7.854714158,stable,30,0.03
P0001_2006,P0001,2006,-0.014366243,0.049291647,-0.06365789,-0.036827068,-0.07217453,0.035347462,1333.975474,26.67334631,2.980598222,79.80954107,7.854714158,decrease,30,0.03
P0001_2007,P0001,2007,0.079186227,-0.014366243,0.09355247,-0.105066325,-0.036827068,-0.068239257,1256.455385,26.76020004,2.980598222,79.80954107,7.854714158,increase,30,0.03
P0001_2008,P0001,2008,0.054929556,0.079186227,-0.024256671,-0.057296733,-0.105066325,0.047769592,1389.69536,26.48498588,2.980598222,79.80954107,7.854714158,decrease,30,0.03
P0001_2009,P0001,2009,0.084862302,0.054929556,0.029932746,-0.072376676,-0.057296733,-0.015079943,1099.129442,26.72114944,2.980598222,79.80954107,7.854714158,increase,30,0.03
P0001_2010,P0001,2010,0.083651507,0.084862302,-0.001210795,-0.123497851,-0.072376676,-0.051121175,1561.093357,26.86991508,2.980598222,79.80954107,7.854714158,stable,30,0.03
P0001_2011,P0001,2011,0.085837106,0.083651507,0.002185599,-0.072558894,-0.123497851,0.050938957,1410.815226,26.56323124,2.980598222,79.80954107,7.854714158,stable,30,0.03
P0001_2012,P0001,2012,0.128261248,0.085837106,0.042424142,-0.201524897,-0.072558894,-0.128966003,1360.824814,26.96440439,2.980598222,79.80954107,7.854714158,increase,30,0.03
P0001_2013,P0001,2013,0.059980646,0.128261248,-0.068280602,-0.091473687,-0.201524897,0.11005121,991.3124337,26.69256393,2.980598222,79.80954107,7.854714158,decrease,30,0.03
P0001_2014,P0001,2014,0.086782201,0.059980646,0.026801555,-0.103336097,-0.091473687,-0.01186241,1602.542708,26.88510676,2.980598222,79.80954107,7.854714158,increase,30,0.03
P0001_2015,P0001,2015,0.106760558,0.086782201,0.019978357,-0.112274518,-0.103336097,-0.008938421,1480.471842,26.91285943,2.980598222,79.80954107,7.854714158,stable,30,0.03
P0001_2016,P0001,2016,0.163188678,0.106760558,0.05642812,-0.111931184,-0.112274518,0.000343334,972.7582776,27.39750873,2.980598222,79.80954107,7.854714158,increase,30,0.03
P0001_2017,P0001,2017,0.131545341,0.163188678,-0.031643337,-0.169494644,-0.111931184,-0.05756346,1192.987165,27.03504022,2.980598222,79.80954107,7.854714158,decrease,30,0.03
P0001_2018,P0001,2018,0.167719806,0.131545341,0.036174465,-0.149312147,-0.169494644,0.020182497,1204.813857,26.7537507,2.980598222,79.80954107,7.854714158,increase,30,0.03
P0001_2019,P0001,2019,0.082802028,0.167719806,-0.084917778,-0.134283672,-0.149312147,0.015028475,1166.129573,27.31444982,2.980598222,79.80954107,7.854714158,decrease,30,0.03
